부위,질환명,정의,원인,증상,관련질환,진료과
배,간염(Hepatitis),간염은 간세포 조직에 염증이 생긴 것을 의미합니다.,"간염은 바이러스, 약물, 알코올, 화학 약물, 독초 등으로 인하여 발병합니다. 바이러스성 간염은 원인 병원체에 따라 A형, B형, C형, D형, E형, G형으로 구분됩니다. 드물기는 하지만 자가 면역성 간염이나 윌슨병 등도 간염의 원인이 될 수 있습니다.",간염은 그 지속 기간에 따라서 급성(6개월 이내)과 만성(6개월 이상)으로 구분됩니다.,"간경화, 전격성 간염, 급성 A형 간염, 급성 바이러스성 간염, 자가면역성 간염, 만성 B형 간염, 만성 C형 간염, 지방간, 독성 간염, 간성 뇌증, 급성 B형 간염, 급성 C형 간염, 복수",소화기내과
배,간의 양성 신생물(Benign neoplasm of the liver),간의 양성 신생물은 간에 발생한 양성 종양을 말합니다. 다음과 같은 종류가 있습니다.,"간 양성 신생물은 특별한 원인 없이 생기는 경우가 많습니다. 대부분 30~60대의 여성에게서 주로 확인됩니다. 간선종의 경우 장기간의 피임약을 복용하거나, 고용량의 호르몬을 복용하는 경우에 발생할 가능성이 높습니다.","양성 신생물은 5cm 이하일 경우 대부분 증상이 없습니다. 이보다 크기가 큰 경우에는 주위 장기 압박, 복통, 팽만감, 오심, 구토 등의 증세를 보일 수 있습니다.","간농양, 간 혈관종",소화기내과
배,간이식 후 상태(Liver Transplantation status),"1988년 서울대학교병원 김수태 교수가 윌슨병으로 인한 만성 간부전 상태인 13세 소녀에게 국내 최초로 뇌사자 간이식을 성공하였습니다. 1997년 2월 서울아산병원의 이승규 교수는 국내 최초로 성인 생체 간이식을 성공했습니다. 1999년에는 세계 최초로 변형우엽 간이식을 성공했고, 2000년에는 세계 최초로 2:1 간이식을, 2003년에는 세계 최초로 교환 간이식을 시행하였습니다. 1999년에 뇌사에 관한 법이 제정됨으로써 사회적으로 뇌사가 인정되었고, 이로써 뇌사자를 이용한 뇌사자 간이식이 법적으로 보호받기 시작했습니다. 2000년에 질병관리본부 장기이식관리센터(Korean Network for Organ Sharing, KONOS)가 발족하여 뇌사자뿐만 아니라 이식에 관한 모든 것을 관리하고 있습니다.",1. 간이식 수술 후 관리,1. 면역 억제제의 복용,"간세포암, 간경화, 신생아 답즙정체증, 선천성 담관 폐쇄증, 윌슨병",소화기내과
배,갈색세포종(Pheochromocytoma),"갈색세포종은 주로 부신수질에서 발생하는 종양을 말합니다. 부신 이외에 교감신경이 분포되어 있는 대동맥 주위와 방광 등에서 발생하기도 합니다. 갈색세포종은 양성 및 악성 여부를 진단하기 어렵습니다. 진료상으로 종양이 하나의 장기에 국한된 경우를 양성으로 판단하며, 임상적으로 주위의 장기로 침윤하거나 림프절, 뼈, 폐 등으로 전이된 경우를 악성으로 진단합니다.",갈색세포종의 10~30％는 가족 유전성입니다. 이 경우 여러 내분비 장기에 다발성으로 종양이 발생하기도 합니다.,"부신 종양으로 인해 호르몬 중 혈압을 높이는 물질인 아드레날린, 노르아드레날린 등의 카테콜라민이 과다하게 생산, 분비되면 혈관이 수축하여 고혈압이 발생합니다. 호르몬 분비로 혈당이 높아지기도 합니다. 또한 두통, 심계항진이 생길 수 있으며, 심장발작이나 뇌졸중이 생길 수 있습니다.",고혈압,내분비내과
배,게실 질환(Diverticular disease),"게실 질환은 식도, 위, 소장, 대장의 약해진 장벽이 늘어나 꽈리 모양의 주머니가 생기는 것을 의미합니다. 게실 질환은 대부분 대장에 발생하며, 특히 우측 결장에 잘 생깁니다.",게실 질환은 나이가 많아짐에 따라 대장의 동맥경화가 진행되어 탄력성이 떨어지고 혈관과 장관의 근육 사이에 틈이 생기고 차차 넓어지면서 발생합니다. 변비 등으로 인해 대장이 과도하게 수축하면 대장 내의 압력이 증가하면서 대장 벽의 약해진 부분에 주머니처럼 부풀어 게실이 생기기도 합니다. 또한 장 점막이 탈출하여 게실이 생기는 경우도 있습니다.,"① 게실증
대부분 증상을 호소하지는 않으나, 가끔 복부 팽만감, 복통, 변비가 나타나기도 합니다.",메켈 게실,소화기내과
배,결핵성 복막염(Tuberculous peritonitis),결핵성 복막염이란 결핵균이 복막 속에 침투하여 복막에 결핵성 염증을 일으키는 질환입니다.,결핵성 복막염의 원인은 결핵균입니다. 주된 1차 병소인 폐에서 혈행성으로 복막에 전파됩니다. 드물게 복강 내 장기로부터 직접 전파되어 발생하는 것으로 알려져 있습니다.,"결핵성 복막염은 만성적으로 진행합니다. 초기 증상은 뚜렷하지 않습니다.
① 복부 : 심한 통증, 복부 팽만, 압통, 복수
② 고열 : 빠른 호흡과 맥박, 식은땀
③ 오심, 구토, 식욕 감소
④ 장의 연동 운동 감소
⑤ 전신 권태","결핵성 골수염, 위장관 결핵, 결핵성 임파선염, 속립성 결핵, 폐결핵, 결핵성 수막염, 복막염, 결핵",감염내과
배,경화성 담관염(Sclerosing cholangitis),담관(담도)의 염증성 질환으로 만성적인 염증이 진행되면서 담관 벽이 두꺼워지게 되어 좁아지거나 협착이 생기는 매우 희귀한 질환입니다.,"경화성 담관염은 원인을 모르는 원발성 경화성 담관염과 다른 질환에 의해 이차적으로 발생하는이차성 혹은 속발성 경화성 담관염으로 구분할 수 있습니다. 남성 대 여성의 비율이 2:1 정도로 남성에서 많이 발병하며 원발성 경화성 담관염은 염증성 장질환과 연관성이 있습니다. 정확한 원인은 아직 알려지지 않았으나 일부에서는 후복막의 섬유화와 췌장염, 그리고 췌장의 섬유화와 관련 있는 것으로 보고되고 있으며, 면역 계통의 변화, 독소, 세균 등이 간접적 원인으로 제시되고 있습니다.","피로감, 식욕 저하, 체중 감소, 황달, 피부소양감, 복부 통증이 나타날 수 있습니다. 주로 발열, 오한, 황달 등의 담관염 증세가 나타나나, 무증상으로 발견되는 경우도 많습니다. 혈액검사에서 간기능 이상이 있거나, 증상이 없어도 환자는 간질환이 점점 진행하게 되어 결국에는 간경변증이나 간문맥 고혈압 등의 합병증이 발생하게 됩니다. ","담관암, 대장암, 간경화, 간내 담석, 췌장염, 궤양성 대장염",소화기내과
배,골반 염증성 질환(Pelvic inflammatory disease),"골반 염증성 질환은 질과 자궁 경관을 통해 세균이 침입하여 자궁 및 난관, 난소, 복강 내에 염증을 일으켜 발생하는 질환을 의미합니다.","골반 염증성 질환의 원인으로는 임질균, 클라미디아, 그람 음성 구균 등 세균의 감염이 있습니다. 이외에 산후 감염, 소파 수술 등이 있습니다.","일반적으로 골반통, 복통을 동반한 아랫배를 누르는 듯한 통증이 있으며, 치골 윗부분이 아픈 증상이 나타나기도 합니다. 질 분비물의 악취, 질 분비물 증가, 38도 이상의 고열이 동반되기도 합니다.","여성 불임, 난소, 난관 이상, 임질",산부인과
배,과립막 세포종(Granulosa cell tumor),과립막 세포종이란 난포를 구성하는 세포인 여포상피에서 유래된 과립막 세포에 발생하는 악성 종양입니다. 난소의 악성 종양 중 2~5%를 차지하는 비교적 드문 질환으로 조직학적 특징에 따라 성인형과 소아형으로 분류되며 성인형이 90%를 차지합니다.,과립막 세포종의 발생 원인은 아직 정확하게 밝혀진 것이 없습니다.,"과립막 세포종의 가장 흔한 증상은 자궁 출혈입니다. 폐경기 전의 여성은 불규칙한 월경 주기, 무월경을 겪을 수 있고, 폐경 후의 여성은 부정 자궁 출혈을 겪을 수 있습니다.","생식선 및 생식 세포의 신생물, 난소암, 난소의 양성 종양, 난소, 난관 이상",산부인과
배,구토(Vomiting),구토는 위장 속의 내용물이 식도를 거쳐 입 밖으로 나오는 증상을 의미합니다. 구역은 속이 메슥거리며 토할 것 같은 느낌을 의미합니다. 구토가 발생하기 이전에 구역이 나타납니다. ,구토는 질병이라기보다는 하나의 증상입니다. 다른 여러 질환에 동반하여 나타납니다.,"구토의 증상은 식욕 저하 및 침 분비 증가로 나타납니다. 구토하기 전에 구역질이 나타나는 경우가 많습니다. 구토는 트림과 함께 위 내용물의 일부가 입안에 고이는 역류와 구별됩니다. 아침에 발생하는 구토는 임신, 요독증, 음주와 관련되는 경우가 많습니다. 식후에 발생하는 구토는 위의 유문부 폐색, 정신과적 원인과 관련됩니다.",소화기내과,
배,궤양성 대장염(Ulcerative colitis),"궤양성 대장염은 대장에 일어나는 염증성 장 질환을 의미합니다. 대장 점막이 충혈되어 붓고 출혈을 일으키며, 대장 점막에 다발적으로 궤양이 생깁니다. 직장항문염을 시작으로 점차 위로 올라가서 전 대장을 침범하며, 병변 부위가 계속 연결되는 것이 특징입니다. 소장을 침범하지는 않습니다.","궤양성 대장염의 원인은 아직 정확히 알려지지 않았습니다. 다만 대장균, 대장벽의 면역학적 이상, 유전적인 요소가 영향을 미친다고 알려져 있습니다. 또한 불규칙하고 자극적인 식습관, 카페인 섭취, 스트레스 등과 관련된다고 알려져 있습니다. 최근에는 서구화되는 생활 습관으로 인해 발병 빈도가 급격하게 증가하고 있습니다. 거의 전 연령층에서 비교적 고른 발병 양상을 보이며, 20~30대의 연령층에서 약간 더 높은 발병률을 보입니다.","궤양성 대장염의 증상으로는 혈액과 점액을 함유한 묽은 변 또는 설사, 심한 복통, 탈수, 빈혈, 열, 체중 감소 등이 있습니다. 대장에서 흡수하지 못하면 설사가 발생하며, 궤양성 대장염이 대장을 많이 침범하면 심하게 설사합니다. 하루에 10회 이상 설사를 하기도 하며 변실금이 나타날 수 있습니다. 이 경우 피와 점액이 섞인 무른 변이나 피고름 같은 변이 나옵니다. 그러나 직장에만 염증이 있는 경우 변이 약간 무르며 때로는 변비가 오기도 합니다. 만성 출혈로 인해 빈혈이 나타날 수 있습니다.","강직성 척추염, 크론병, 대장 용종, 대장균 감염, 관절염, 자극성 장 증후군, 대장염, 위막성 대장염, 장출혈성 대장균 감염증",소화기내과
배,급성 A형 간염(Acute hepatitis A),"급성 A형 간염은 간염 바이러스의 한 종류인 A형 간염 바이러스(hepatitis A virus. HAV)에 감염되어 발생하는 급성 간염의 한 종류입니다. 오심, 구토, 전신 쇠약감, 황달 등의 간염 증상과 간 기능 검사의 이상 현상이 나타납니다.",A형 간염의 주된 감염 경로는 분변-경구 감염(fecal-oral transmission)입니다. 대변을 통해 배출된 A형 간염 바이러스는 실온에서도 몇 개월 이상 생존할 수 있습니다. 주로 오염된 물과 음식을 통해 전파됩니다.,"A형 간염 바이러스가 몸에 들어오면 평균 4주(15~50일) 가량의 잠복기를 거친 이후 임상 증상이 나타납니다. 주로 비특이적인 증상이 나타나는데, 감기몸살처럼 열이 나거나 식욕이 감소하고, 구역질과 구토, 전신적인 쇠약감, 복통과 설사를 호소합니다.","급성 바이러스성 간염, 급성 B형 간염, 급성 C형 간염",소화기내과
배,급성 B형 간염(Acute hepatitis B),"급성 B형 간염은 B형 간염 바이러스(hepatitis B virus, HBV)에 감염되어 간에 염증이 발생하는 바이러스성 급성 간염입니다. ","급성 B형 간염은 B형 간염 바이러스 감염에 의해 발병합니다. B형 간염 바이러스는 주로 혈액을 통해 전염되며, 수혈, 오염된 주삿바늘, 면도기, 칫솔 등을 통해 전염될 수 있습니다. 또한 환자의 타액, 질액, 정액에 바이러스가 존재하기 때문에 성행위에 의해 전염될 수 있습니다. B형 간염 산모가 아기를 낳거나 낳은 직후 전염되는 주산기 감염도 주요한 감염 경로입니다.","급성 B형 간염의 가장 흔한 증상은 피로감, 미열, 근육통, 오심, 구토, 식욕 부진, 복부의 불쾌감, 설사입니다. 대부분의 환자가 몸살 증상만 느끼거나 증상이 약하여 모르고 지내는 경우가 많습니다. 증상이 심한 경우 여러 가지 자각 증상이 나타나며, 소변이 콜라색처럼 진하게 변하고, 눈과 피부의 색이 노랗게 변하는 황달이 생기며, 가려움증이 동반될 수 있습니다.","간세포암, 만성 B형 간염, 간염",소화기내과
배,급성 C형 간염(Acute hepatitis C),"급성 C형 간염은 C형 간염 바이러스(hepatitis C virus, HCV)에 감염되어 간에 염증이 발생하고 간세포가 손상되는 질환입니다. 제2군 전염병에 속합니다.","급성 C형 간염은 주로 혈액을 통해 전염되며, 일상적인 접촉으로는 전염되지 않습니다. 오염된 주삿바늘, 바늘, 침, 손톱깎이, 면도기, 칫솔, 그 밖에 피부를 뚫는 모든 행위(문신, 침술, 피어싱 등) 등에 의해 전염될 수 있으므로 이런 기구를 함께 사용하지 않아야 합니다. 환자의 정액과 질액에 바이러스가 존재하므로 성행위에 의하여 전염될 수 있습니다. 그러나 부부간 전염률은 5% 이하로 낮은 것으로 알려져 있습니다. 특별한 전염 경로를 알 수 없는 경우도 많습니다.","급성 C형 간염의 가장 흔한 증상은 전신 피로감, 미열, 근육통, 기침, 콧물 등의 감기 증상입니다. 증상이 미약하여 모르고 지내는 경우도 있습니다. 오심, 구토, 식욕 부진, 복부 불쾌감 등 소화기관에서 불편감이 느껴지며 가끔 설사가 생기기도 합니다. 질병이 진행되면 일부 환자는 전신적인 자각 증상을 느끼며 소변이 콜라색처럼 진하게 변하기도 합니다. 며칠 뒤에는 눈과 피부에 황달이 생기며, 가려움증이 동반될 수 있습니다. 급성 C형 간염에서 급성 간부전으로 진행하는 경우는 극히 드뭅니다.","간세포암, 만성 C형 간염, 간염",소화기내과
배,급성 간질성 신염(Acute tubulo-interstitial nephritis),급성 간질성 신염은 세뇨관 사이의 간질에 염증세포가 침윤하여 신기능이 감소하는 질환을 의미합니다.,"급성 간질성 신염의 원인으로는 약, 낭창(SLE)과 같은 전신 질환, 감염이 있습니다. 이 중에서 약은 75%, 낭창(SLE)과 같은 전신 질환은 15%, 감염은 10% 정도를 차지합니다. 약이 원인이라면 항생제, 진통소염제 혹은 민간요법의 투여가 원인이 되는 경우가 가장 많습니다.","급성 간질성 신염에 걸린 환자의 50%에게서 심한 소변양 감소(핍뇨)가 나타나고, 5%에게서 육안적 혈뇨가 나타납니다. 관절통(45%), 열(30%), 혈액 내 호산구증(30%), 피부 발진(20%) 등이 동반되기도 합니다. 증상이 나타나지 않을 수도 있습니다.","고혈압, 신부전, 사구체신염, 급성 신부전, 만성 신부전",신장내과
배,급성 담낭염(Acute cholecystitis),"급성 담낭염은 담석, 종양 혹은 담낭의 기능 이상 등으로 인해 담낭관이 부분적이거나 완전히 좁아지면서 담낭 내에 기계적, 화학적 또는 세균성 염증이 발생한 질환을 의미합니다.","급성 담낭염의 원인 중 가장 많은 비중을 차지하는 것은 담낭 내 담석으로, 72~93% 정도 입니다. 담석 없이 급성 담낭염이 발생하는 경우는 5~10% 정도로 보고되었습니다. 담석은 무증상이지만 약 20~30%에서 증상이 나타납니다. 담석이 담관을 막으면 담낭의 압력이 높아지고 담낭벽이 붓고 염증이 생깁니다. 염증이 심해지면 담낭이 터지거나 괴사하기도 합니다.","급성 담낭염의 초기 증상은 담석에 의한 통증인 담관 산통과 비슷합니다. 일반적으로 단순한 담관 산통은 통증이 수 시간 이상 지속되는 경우가 드뭅니다. 통증이 수 시간 이상 지속된다면, 급성 담낭염에 준하는 검사와 치료를 시행해야 합니다. 복통은 종종 과식 후, 늦은 밤, 이른 아침에 우상복부에 둔하게 지속되는 양상으로 발생합니다. 간혹 통증이 등이나 우측 견갑골 쪽으로 퍼지기도 합니다.","담낭암, 담석, 만성 담낭염",소화기내과
배,급성 바이러스성 간염(Acute viral hepatitis),"급성 바이러스성 간염은 A형, B형, C형, D형, E형, G형 간염 바이러스 및 단핵구증, 거대세포 바이러스와 같은 바이러스가 원인이 되어 간조직에 염증을 일으키는 질환입니다. 급성 간염은 6개월 이내에 치료되며 환자의 90% 이상이 정상적으로 회복됩니다.","급성 바이러스 간염은 원인 바이러스에 감염되어 발병합니다. 원인 바이러스의 종류에는 A형, B형, C형, D형, E형, G형 간염 바이러스, Epstein-barr 바이러스, 거대세포 바이러스가 있습니다. B형, C형 및 D형 간염 바이러스는 혈액이나 성적 접촉을 통해 전염되며, A형과 E형 간염 바이러스는 입을 통해 감염됩니다.","가장 흔한 증상은 미열, 감기몸살, 피곤함, 권태감, 울렁거림, 식욕부진, 구토로 인한 밥맛없는 느낌 등입니다. 두통이나 관절통, 근육통, 복부 불쾌감이 동반되기도 하며, 때때로 눈의 흰자위가 노랗게 변하는 황달이 나타나기도 합니다.","전격성 간염, 급성 A형 간염, 자가면역성 간염, 만성 B형 간염, 만성 C형 간염, 간염, 독성 간염, 급성 B형 간염, 급성 C형 간염",소화기내과
